"Station_Name","Station_Latitude","Station_Longitude","Total_Passenger_Boardings"
"Aircraft",-37.86660595,144.7608094,1750
"Alamein",-37.86832039,145.0796557,940
"Albion",-37.77765281,144.8247036,5360
"Albury",-36.08426161,146.9245154,290
"Alphington",-37.77839363,145.0312549,2670
"Altona",-37.8671476,144.8296447,3400
"Anstey",-37.76124203,144.960684,4850
"Ararat",-37.28220485,142.9369137,530
"Ardeer",-37.783063,144.802193,700
"Armadale",-37.85645238,145.0193255,5800
"Ascot Vale",-37.77530609,144.9218207,5810
"Ashburton",-37.86196753,145.0813438,2460
"Aspendale",-38.02722019,145.1021496,1390
"Auburn",-37.82239831,145.0458437,8080
"Avenel",-36.89364778,145.229515,0
"Bacchus Marsh",-37.687582,144.436788,4840
"Bairnsdale",-37.82872043,147.6276138,940
"Balaclava",-37.86948773,144.9935121,13510
"Ballan",-37.6043,144.225443,850
"Ballarat",-37.55879,143.859452,6440
"Batman",-37.73352285,144.9628406,3850
"Baxter",-38.19404306,145.1605261,20
"Bayswater",-37.84173004,145.2681364,6910
"Beaconsfield",-38.05083135,145.3660737,2600
"Beaufort",-37.42787497,143.3822337,150
"Belgrave",-37.9091021,145.3552913,5220
"Bell",-37.74556212,145.000155,3600
"Benalla",-36.54455031,145.9839151,250
"Bendigo",-36.765673,144.283012,4890
"Bentleigh",-37.91742457,145.0369951,8700
"Berwick",-38.04040829,145.3457261,10600
"Birregurra",-38.32880781,143.7836252,0
"Bittern",-38.33739032,145.1780265,60
"Blackburn",-37.82007075,145.1500135,19120
"Bonbeach",-38.06294478,145.1196804,1100
"Boronia",-37.8604518,145.2843851,8010
"Box Hill",-37.81922165,145.1214289,44180
"Brighton Beach",-37.92648432,144.9891536,4860
"Broadford",-37.207202,145.043009,790
"Broadmeadows",-37.68304926,144.9196132,12600
"Brunswick",-37.76772055,144.9595865,3930
"Bunyip",-38.09911,145.720762,70
"Burnley",-37.82756022,145.0075551,15430
"Burwood",-37.85156328,145.0805111,2120
"Camberwell",-37.82656714,145.0586972,28220
"Camperdown",-38.22890091,143.1509278,210
"Canterbury",-37.82448518,145.0812242,3490
"Cardinia Road",-38.07129047,145.437791,6110
"Carnegie",-37.88624148,145.0585751,13730
"Caroline Springs",-37.767153,144.738023,2110
"Carrum",-38.07489292,145.1224183,4100
"Castlemaine",-37.062836,144.213801,2460
"Caulfield",-37.87745946,145.0425248,63930
"Chatham",-37.82429952,145.0886479,1670
"Chelsea",-38.05195538,145.1160413,3770
"Cheltenham",-37.96664989,145.0545579,8020
"Chiltern",-36.15563663,146.6113748,0
"Clarkefield",-37.483497,144.745368,160
"Clayton",-37.92468255,145.1205344,27410
"Clifton Hill",-37.78865745,144.9954167,12570
"Clunes",-37.30314079,143.7815766,10
"Cobblebank",-37.712542,144.604103,1810
"Coburg",-37.74234502,144.9633363,6400
"Colac",-38.34337792,143.5866531,320
"Collingwood",-37.80452593,144.9937497,5520
"Coolaroo",-37.66100253,144.9260556,2590
"Corio",-38.072835,144.37977,70
"Craigieburn",-37.6018169,144.9433203,19650
"Cranbourne",-38.09953731,145.280599,13070
"Creswick",-37.42460539,143.8881236,10
"Crib Point",-38.36612338,145.2040433,150
"Croxton",-37.764101,144.9970562,2770
"Croydon",-37.79543697,145.2805978,10070
"Dandenong",-37.98996792,145.2097254,42010
"Darebin",-37.77496341,145.038476,800
"Darling",-37.86895684,145.0629508,3870
"Deer Park",-37.77776,144.772307,8880
"Dennis",-37.77918729,145.0082416,3330
"Diamond Creek",-37.67329744,145.1585062,2110
"Diggers Rest",-37.62701651,144.7199224,1760
"Dingee",-36.36923291,144.2311203,0
"Donnybrook",-37.542592,144.969865,740
"Drouin",-38.136453,145.855943,1980
"Eaglehawk",-36.718528,144.248382,10
"Eaglemont",-37.76358553,145.0539427,1070
"East Camberwell",-37.82589419,145.0681902,2750
"East Malvern",-37.87693002,145.069393,4000
"East Richmond",-37.82639995,144.9970657,5780
"Echuca",-36.13098223,144.7534587,300
"Edithvale",-38.03805602,145.1085355,1800
"Elmore",-36.49502002,144.6077575,0
"Elsternwick",-37.88475311,145.0008979,12550
"Eltham",-37.71354967,145.147822,6490
"Epping",-37.65238715,145.0301217,12310
"Epsom",-36.706343,144.321036,50
"Essendon",-37.7560117,144.9161975,18800
"Euroa",-36.74914593,145.5678643,30
"Fairfield",-37.77917126,145.0169053,6500
"Fawkner",-37.71462129,144.960545,2230
"Ferntree Gully",-37.88169799,145.2952513,5250
"Flagstaff",-37.81198131,144.9556538,69210
"Flemington Bridge",-37.78813995,144.9393233,2210
"Flemington Racecourse",-37.78720192,144.9075887,980
"Flinders Street",-37.81830513,144.9669643,684910
"Footscray",-37.80108298,144.9031992,88350
"Frankston",-38.14299007,145.1261623,20390
"Gardenvale",-37.89669508,145.0041684,5890
"Gardiner",-37.85327908,145.0516547,4900
"Garfield",-38.09103,145.67422,190
"Geelong",-38.144241,144.354992,12800
"Ginifer",-37.75751083,144.8095734,9900
"Gisborne",-37.458825,144.598718,1390
"Glen Iris",-37.85930842,145.0582249,3630
"Glen Waverley",-37.87950407,145.1620575,18940
"Glenbervie",-37.74720985,144.9209387,2780
"Glenferrie",-37.82146682,145.0364388,31480
"Glenhuntly",-37.88971946,145.0422229,9250
"Glenroy",-37.70453633,144.9172204,10580
"Goornong",-36.61518327,144.5034742,0
"Gowrie",-37.700678,144.9588743,3890
"Greensborough",-37.70395408,145.1082474,7880
"Hallam",-38.01774038,145.2697768,4580
"Hampton",-37.93797681,145.0014706,7520
"Hartwell",-37.84398457,145.0755596,1490
"Hastings",-38.30565853,145.1859799,90
"Hawksburn",-37.84459087,145.0021421,5040
"Hawkstowe",-37.622992,145.097396,2150
"Hawthorn",-37.82182601,145.0228987,7490
"Heathcote Junction",-37.367732,145.026305,80
"Heatherdale",-37.81889537,145.2127872,4910
"Heathmont",-37.82832227,145.2445554,2420
"Heidelberg",-37.75707293,145.0606855,11510
"Heyington",-37.83467244,145.0226353,3070
"Highett",-37.948425,145.0418718,4600
"Holmesglen",-37.87440222,145.090662,5210
"Hoppers Crossing",-37.88327618,144.7009549,12560
"Hughesdale",-37.89488129,145.0776351,6000
"Huntingdale",-37.91101734,145.1023643,17260
"Hurstbridge",-37.63939817,145.1920169,1710
"Ivanhoe",-37.76889674,145.0454252,8670
"Jacana",-37.69513079,144.9158505,3000
"Jewell",-37.77498702,144.9587169,4250
"Jolimont",-37.81652702,144.9840983,11300
"Jordanville",-37.87360339,145.1120902,4260
"Kananook",-38.12174203,145.1352953,2070
"Kangaroo Flat",-36.794838,144.248993,530
"Keilor Plains",-37.72927934,144.7937381,7620
"Kensington",-37.79378022,144.9305244,5720
"Keon Park",-37.69487012,145.0118838,4280
"Kerang",-35.73312162,143.9244251,50
"Kilmore East",-37.293208,144.983565,750
"Kooyong",-37.83992894,145.0335516,2570
"Kyneton",-37.258277,144.450602,1560
"Laburnum",-37.82078023,145.1407027,3670
"Lalor",-37.66585075,145.0171932,7060
"Lara",-38.022428,144.414402,4220
"Laverton",-37.86369404,144.7726167,20120
"Leawarra",-38.152034,145.139534,10
"Lilydale",-37.75551777,145.3477102,7620
"Little River",-37.962928,144.498485,40
"Longwarry",-38.110992,145.76686,170
"Lynbrook",-38.05734118,145.2492751,5170
"Macaulay",-37.79426673,144.9361663,2500
"Macedon",-37.423577,144.561397,350
"Macleod",-37.7260123,145.0691433,6260
"Malmsbury",-37.189744,144.375325,50
"Malvern",-37.8662533,145.0292939,10230
"Marshall",-38.19855,144.355055,1870
"Maryborough",-37.05090849,143.7424023,120
"Mckinnon",-37.91030903,145.038299,4020
"Melbourne Central",-37.80993877,144.9625935,161900
"Melton",-37.703289,144.572525,10040
"Mentone",-37.9818654,145.0651659,10670
"Merinda Park",-38.07900048,145.2635114,4440
"Merlynston",-37.72093389,144.9613135,3750
"Mernda",-37.602549,145.100883,11980
"Merri",-37.77784668,144.9929725,1030
"Middle Brighton",-37.91513441,144.9962991,7200
"Middle Footscray",-37.8025047,144.8914721,2000
"Middle Gorge",-37.644062,145.09214,2670
"Mitcham",-37.81800987,145.1919735,14160
"Moe",-38.176713,146.262698,1990
"Mont Albert",-37.81942655,145.1055304,1970
"Montmorency",-37.71529624,145.1215157,2970
"Moonee Ponds",-37.76570666,144.9191607,12080
"Moorabbin",-37.93435329,145.0367383,9170
"Mooroolbark",-37.78474883,145.3124024,6620
"Mooroopna",-36.39912828,145.3582148,40
"Mordialloc",-38.00658295,145.0876594,8900
"Moreland",-37.75448484,144.961823,3470
"Morradoo",-38.35403334,145.1896025,10
"Morwell",-38.236723,146.396752,1690
"Mount Waverley",-37.87525526,145.1280557,9750
"Murchison East",-36.61314794,145.2406356,30
"Murrumbeena",-37.89019832,145.0673749,8440
"Nagambie",-36.7854641,145.1603567,10
"Nar Nar Goon",-38.08159,145.57167,20
"Narre Warren",-38.02780932,145.3039694,8730
"Newmarket",-37.78732767,144.9289785,8890
"Newport",-37.84271757,144.8835999,21150
"Noble Park",-37.96723193,145.1769357,15310
"North Brighton",-37.90488721,145.002605,8170
"North Geelong",-38.122836,144.352277,2910
"North Melbourne",-37.80630984,144.9415102,67990
"North Richmond",-37.81039836,144.9925003,8460
"North Shore",-38.098373,144.365323,950
"North Williamstown",-37.85733348,144.8890695,3390
"Northcote",-37.76986537,144.9952772,3460
"Nunawading",-37.82060317,145.1748917,11940
"Oak Park",-37.71794973,144.9215188,6120
"Oakleigh",-37.90037214,145.0883079,24340
"Officer",-38.06614572,145.4109872,1330
"Ormond",-37.90321167,145.0396134,7210
"Pakenham",-38.08061397,145.4863791,10090
"Parkdale",-37.99307882,145.0763268,3960
"Parliament",-37.81105406,144.9729109,98770
"Pascoe Vale",-37.73075596,144.9281956,6900
"Patterson",-37.92514919,145.03547,2940
"Prahran",-37.84951848,144.9898599,16300
"Preston",-37.73867424,145.000522,7520
"Pyramid",-36.05311274,144.1131327,0
"Regent",-37.72840277,145.0027726,4600
"Reservoir",-37.71688492,145.0069958,13740
"Richmond",-37.82407446,144.9901643,178630
"Riddells Creek",-37.465127,144.679828,550
"Ringwood",-37.81588648,145.2289685,35500
"Ringwood East",-37.81196804,145.2501909,4060
"Ripponlea",-37.87590643,144.9952366,7220
"Riversdale",-37.83150543,145.069646,1730
"Rochester",-36.3623605,144.6986813,20
"Rockbank",-37.729258,144.65063,2300
"Rosanna",-37.7428786,145.0661403,7150
"Rosedale",-38.15640367,146.7869664,10
"Roxburgh Park",-37.63823121,144.9354037,6970
"Royal Park",-37.78119293,144.9523013,3760
"Rushall",-37.78321711,144.9924071,1080
"Ruthven",-37.70789754,145.0095166,4380
"Sale",-38.10310272,147.0548051,380
"Sandown Park",-37.95650457,145.1628259,4240
"Sandringham",-37.95033018,145.0045614,11630
"Seaford",-38.10402104,145.1282304,3970
"Seaholme",-37.86784231,144.8409577,850
"Seddon",-37.80900514,144.8956716,4130
"Seymour",-37.024725,145.137733,1350
"Shepparton",-36.38379101,145.4064975,960
"Sherwood Park",-38.38639224,142.5388712,40
"Showgrounds",-37.7835,144.915,120
"Somerville",-38.22534196,145.1762449,30
"South Geelong",-38.15866,144.358987,5270
"South Kensington",-37.79953087,144.925469,2630
"South Morang",-37.6491588,145.0670324,9760
"South Yarra",-37.83844935,144.9923422,74740
"Southern Cross",-37.81793643,144.9514112,354750
"Southland",-37.958758,145.049124,7120
"Spotswood",-37.83063888,144.8859335,3460
"Springhurst",-36.1858934,146.470417,10
"Springvale",-37.94950878,145.1534518,24470
"St Albans",-37.74486131,144.8000505,17440
"Stony Point",-38.37423454,145.2218375,110
"Stratford",-37.96704739,147.0814694,40
"Strathmore",-37.74359132,144.9273157,2930
"Sunbury",-37.57909097,144.7273188,10610
"Sunshine",-37.78853633,144.8328782,36590
"Surrey Hills",-37.82414805,145.0987747,6710
"Swan Hill",-35.34111357,143.5623432,670
"Syndal",-37.87622963,145.1497805,9310
"Talbot",-37.17289923,143.7056403,0
"Tallarook",-37.092332,145.103002,10
"Tarneit",-37.832169,144.694716,19940
"Tecoma",-37.90811849,145.3429946,550
